epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,99.4823,0.49406,0.3002,0.94095,0.99759,1,0.995,0.93816,0.41796,0.26031,0.93308,0.0009043,0.0009043,0.0009043
31,102.708,0.49813,0.30083,0.94809,0.99914,1,0.995,0.9346,0.46173,0.24078,0.95253,0.000901,0.000901,0.000901
32,106.137,0.47038,0.29454,0.93571,0.99843,1,0.995,0.93671,0.4449,0.23445,0.96298,0.0008977,0.0008977,0.0008977
33,109.5,0.49522,0.2953,0.94886,1,1,0.995,0.9426,0.43708,0.22424,0.95813,0.0008944,0.0008944,0.0008944
34,113.488,0.4973,0.29425,0.94185,1,1,0.995,0.92589,0.48762,0.23595,0.97904,0.0008911,0.0008911,0.0008911
35,117.551,0.5014,0.29549,0.94655,1,1,0.995,0.94413,0.42809,0.2357,0.93892,0.0008878,0.0008878,0.0008878
36,121.527,0.49221,0.29742,0.95067,1,1,0.995,0.92605,0.47814,0.25719,0.97933,0.0008845,0.0008845,0.0008845
37,125.693,0.48373,0.29129,0.93358,1,1,0.995,0.92822,0.45935,0.2257,0.96988,0.0008812,0.0008812,0.0008812
38,129.728,0.501,0.30055,0.94886,1,1,0.995,0.94598,0.42154,0.22889,0.94236,0.0008779,0.0008779,0.0008779
39,133.624,0.48263,0.29207,0.94663,0.99891,1,0.995,0.9513,0.41507,0.24505,0.93915,0.0008746,0.0008746,0.0008746
40,137.683,0.48492,0.29054,0.94899,1,1,0.995,0.9484,0.42939,0.24062,0.94253,0.0008713,0.0008713,0.0008713
41,141.861,0.45811,0.2741,0.92131,1,1,0.995,0.94838,0.42705,0.21573,0.94492,0.000868,0.000868,0.000868
42,145.819,0.48881,0.29104,0.94349,1,1,0.995,0.9477,0.41174,0.20771,0.93427,0.0008647,0.0008647,0.0008647
43,149.82,0.46836,0.28331,0.9401,1,1,0.995,0.93315,0.44679,0.22752,0.96165,0.0008614,0.0008614,0.0008614
44,153.669,0.48366,0.28989,0.95352,0.99945,1,0.995,0.94815,0.40987,0.21111,0.93359,0.0008581,0.0008581,0.0008581
45,157.8,0.46217,0.28423,0.94946,1,1,0.995,0.93444,0.45246,0.23972,0.95212,0.0008548,0.0008548,0.0008548
