epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.95642,0.67687,1.23387,0.98788,0.76536,0.72139,0.76168,0.66155,0.62469,2.12699,0.91099,0.0678919,0.000324324,0.000324324
2,7.32512,0.62874,0.55784,0.98264,0.99806,1,0.995,0.91284,0.53689,0.55771,0.99653,0.0348897,0.000655487,0.000655487
3,10.8229,0.59611,0.53914,0.98521,0.93965,0.97916,0.995,0.86304,0.59916,1.03093,1.06745,0.00188535,0.00098445,0.00098445
4,13.9778,0.62769,0.52714,1.01418,0.93495,0.96264,0.97237,0.86773,0.54993,0.54988,1.03076,0.0009901,0.0009901,0.0009901
5,17.1903,0.61115,0.46019,1.00052,0.85429,0.96847,0.995,0.88287,0.61106,0.58675,1.03596,0.0009868,0.0009868,0.0009868
6,20.422,0.58991,0.43179,0.98527,0.99766,1,0.995,0.91404,0.50644,0.35072,1.01484,0.0009835,0.0009835,0.0009835
7,23.6621,0.55641,0.39577,0.97621,0.99942,1,0.995,0.9184,0.47653,0.34432,0.97849,0.0009802,0.0009802,0.0009802
8,26.9611,0.56195,0.3737,0.97401,1,1,0.995,0.9212,0.46859,0.31648,0.96747,0.0009769,0.0009769,0.0009769
9,30.2438,0.55877,0.37643,0.97305,0.99919,1,0.995,0.91856,0.50812,0.33529,0.99013,0.0009736,0.0009736,0.0009736
10,33.4728,0.5512,0.37703,0.96835,0.99531,1,0.995,0.92311,0.46278,0.42043,0.97768,0.0009703,0.0009703,0.0009703
11,36.7329,0.56934,0.36834,0.98479,0.99697,1,0.995,0.92788,0.44771,0.3019,0.96245,0.000967,0.000967,0.000967
12,40.0302,0.53781,0.3583,0.97095,1,1,0.995,0.91452,0.46714,0.31874,0.9653,0.0009637,0.0009637,0.0009637
13,43.3553,0.51773,0.34069,0.95851,1,1,0.995,0.92935,0.45177,0.27146,0.96622,0.0009604,0.0009604,0.0009604
14,46.646,0.56236,0.35664,0.96343,1,1,0.995,0.92611,0.47931,0.28011,0.98089,0.0009571,0.0009571,0.0009571
15,49.8162,0.53491,0.34195,0.95513,1,1,0.995,0.91613,0.49402,0.2802,0.98327,0.0009538,0.0009538,0.0009538
16,53.0523,0.53579,0.34252,0.95369,0.99894,1,0.995,0.93208,0.43446,0.3301,0.9556,0.0009505,0.0009505,0.0009505
17,56.3408,0.51352,0.32435,0.9487,0.99098,1,0.995,0.92851,0.45096,0.30047,0.95977,0.0009472,0.0009472,0.0009472
18,59.7293,0.53659,0.32712,0.95873,1,1,0.995,0.91904,0.48827,0.28526,0.96965,0.0009439,0.0009439,0.0009439
19,62.9829,0.5214,0.32665,0.97819,0.99712,1,0.995,0.9277,0.4581,0.24997,0.96192,0.0009406,0.0009406,0.0009406
20,66.1654,0.52378,0.31475,0.96672,1,1,0.995,0.93586,0.41928,0.24434,0.94565,0.0009373,0.0009373,0.0009373
21,69.5073,0.50969,0.31272,0.94977,0.9901,1,0.995,0.93956,0.44634,0.27466,0.95621,0.000934,0.000934,0.000934
22,72.9579,0.50747,0.31924,0.95001,1,1,0.995,0.93347,0.44537,0.27646,0.95023,0.0009307,0.0009307,0.0009307
23,76.3927,0.51405,0.31774,0.95,1,1,0.995,0.91547,0.46833,0.27339,0.97078,0.0009274,0.0009274,0.0009274
24,79.642,0.49625,0.30896,0.94914,0.9987,1,0.995,0.9377,0.44844,0.25657,0.95889,0.0009241,0.0009241,0.0009241
25,82.8861,0.50566,0.30543,0.9559,0.99904,1,0.995,0.95158,0.43269,0.24377,0.95457,0.0009208,0.0009208,0.0009208
26,86.2767,0.51023,0.30079,0.96131,0.99754,1,0.995,0.9463,0.44805,0.25203,0.95427,0.0009175,0.0009175,0.0009175
27,89.5825,0.50367,0.30083,0.95355,0.99824,1,0.995,0.94061,0.45907,0.24412,0.95699,0.0009142,0.0009142,0.0009142
28,92.9173,0.50514,0.30786,0.95186,0.99784,1,0.995,0.9296,0.4398,0.24492,0.9602,0.0009109,0.0009109,0.0009109
29,96.2151,0.48453,0.29575,0.94831,0.99854,1,0.995,0.93962,0.44042,0.23597,0.94441,0.0009076,0.0009076,0.0009076
