epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.09572,0.89602,2.20226,1.11419,0.01852,0.0029,0.00958,0.00383,3.57427,3.53432,8.60427,0.0838,0.0018,0.0018
2,12.4155,0.81017,0.8524,1.02415,0.0015,0.44348,0.00099,0.00013,4.63929,inf,48.5634,0.0666634,0.00366337,0.00366337
3,17.5489,0.83483,0.75669,1.01434,0.00066,0.36812,0.00042,0.00016,2.8615,inf,17.6486,0.0494891,0.00548912,0.00548912
4,22.5715,0.79838,0.68676,1.0007,0.00677,0.57681,0.00642,0.00139,3.30846,inf,16.2089,0.0322773,0.00727725,0.00727725
5,27.4735,0.78726,0.66711,0.98358,0.00608,0.5942,0.0066,0.00282,2.16908,inf,9.14991,0.0150278,0.00902776,0.00902776
6,32.2543,0.71536,0.61768,0.96371,0.67994,0.13623,0.009,0.00523,1.54592,10.0014,1.93837,0.009505,0.009505,0.009505
7,37.0582,0.68366,0.60135,0.96012,0.54753,0.19284,0.20604,0.14875,1.10828,3.66913,1.43972,0.009406,0.009406,0.009406
8,41.8007,0.69951,0.60611,0.95969,0.59851,0.33043,0.32622,0.25411,0.72322,3.14777,1.06946,0.009307,0.009307,0.009307
9,46.6536,0.66791,0.54921,0.95961,0.3169,0.32754,0.3269,0.28403,0.56877,2.3489,0.94057,0.009208,0.009208,0.009208
10,51.4729,0.61903,0.52322,0.94009,0.32038,0.33333,0.32265,0.2884,0.45448,1.55699,0.87577,0.009109,0.009109,0.009109
11,56.2337,0.60103,0.4941,0.93741,0.3208,0.33333,0.32798,0.30098,0.42322,0.81239,0.85133,0.00901,0.00901,0.00901
12,61.0167,0.59702,0.48319,0.93938,0.31892,0.33333,0.3217,0.29611,0.44548,0.46712,0.85198,0.008911,0.008911,0.008911
13,65.8641,0.58859,0.47391,0.94299,0.31622,0.33333,0.32117,0.29895,0.43049,0.46524,0.84983,0.008812,0.008812,0.008812
14,70.553,0.56732,0.48239,0.92096,0.31285,0.31884,0.32386,0.28174,0.457,0.54469,0.85316,0.008713,0.008713,0.008713
15,75.4134,0.52707,0.45728,0.91192,0.31887,0.33333,0.32493,0.30318,0.35054,1.47946,0.82724,0.008614,0.008614,0.008614
