epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,212.427,0.55645,0.36166,0.9003,1,1,0.995,0.90947,0.43922,0.29783,0.81996,0.005545,0.005545,0.005545
47,216.701,0.54982,0.36876,0.90344,1,1,0.995,0.90635,0.45236,0.30961,0.83358,0.005446,0.005446,0.005446
48,221.006,0.4983,0.33905,0.8995,1,1,0.995,0.92436,0.41964,0.28724,0.81769,0.005347,0.005347,0.005347
49,225.293,0.51576,0.34622,0.89842,1,1,0.995,0.91269,0.45412,0.29875,0.83432,0.005248,0.005248,0.005248
50,229.604,0.51438,0.35075,0.90619,1,1,0.995,0.90816,0.46604,0.30025,0.8369,0.005149,0.005149,0.005149
51,233.994,0.5303,0.3532,0.90086,1,1,0.995,0.91862,0.45235,0.2945,0.82217,0.00505,0.00505,0.00505
52,238.331,0.5362,0.34995,0.90627,1,1,0.995,0.91638,0.42849,0.31205,0.82754,0.004951,0.004951,0.004951
53,242.498,0.53108,0.3596,0.91114,1,1,0.995,0.92834,0.43069,0.28427,0.82509,0.004852,0.004852,0.004852
54,246.808,0.53691,0.34913,0.90495,0.99916,1,0.995,0.91744,0.45722,0.30853,0.83787,0.004753,0.004753,0.004753
55,251.058,0.51708,0.35183,0.89621,1,1,0.995,0.92266,0.45302,0.3053,0.81485,0.004654,0.004654,0.004654
56,255.328,0.5223,0.34772,0.90247,1,1,0.995,0.92737,0.42868,0.28645,0.82742,0.004555,0.004555,0.004555
57,259.53,0.52167,0.33021,0.90004,1,1,0.995,0.91761,0.4568,0.29048,0.83398,0.004456,0.004456,0.004456
58,263.785,0.51168,0.33519,0.90175,1,1,0.995,0.92623,0.43056,0.28081,0.81781,0.004357,0.004357,0.004357
59,268.295,0.49665,0.32313,0.8866,0.99783,1,0.995,0.91888,0.41629,0.26739,0.8165,0.004258,0.004258,0.004258
60,272.855,0.50328,0.32403,0.89107,0.98958,1,0.995,0.91425,0.48153,0.30113,0.84676,0.004159,0.004159,0.004159
61,277.489,0.51156,0.33607,0.90823,0.99541,1,0.995,0.93389,0.41215,0.28112,0.8156,0.00406,0.00406,0.00406
62,282.115,0.51797,0.32568,0.89885,1,1,0.995,0.9258,0.43745,0.27239,0.83122,0.003961,0.003961,0.003961
63,286.718,0.50155,0.32645,0.89075,0.99869,1,0.995,0.93716,0.41178,0.29063,0.82399,0.003862,0.003862,0.003862
64,291.152,0.48529,0.32482,0.89272,1,1,0.995,0.93193,0.42564,0.28232,0.82208,0.003763,0.003763,0.003763
65,295.52,0.46198,0.31408,0.89056,0.99853,1,0.995,0.93413,0.40874,0.27328,0.81339,0.003664,0.003664,0.003664
66,299.739,0.46882,0.31689,0.88574,1,1,0.995,0.92492,0.40503,0.2538,0.8082,0.003565,0.003565,0.003565
67,304.054,0.48457,0.31532,0.89119,1,1,0.995,0.91904,0.45092,0.27289,0.8303,0.003466,0.003466,0.003466
68,308.362,0.50395,0.32612,0.90465,1,1,0.995,0.93,0.419,0.28949,0.81727,0.003367,0.003367,0.003367
69,312.616,0.46345,0.31195,0.88999,1,1,0.995,0.93875,0.4107,0.26178,0.81521,0.003268,0.003268,0.003268
70,316.916,0.50086,0.32541,0.90333,1,1,0.995,0.92724,0.41983,0.28303,0.81794,0.003169,0.003169,0.003169
71,321.202,0.47506,0.31846,0.8905,1,1,0.995,0.93049,0.42493,0.2706,0.82972,0.00307,0.00307,0.00307
72,325.599,0.46202,0.29975,0.89015,1,1,0.995,0.93451,0.40749,0.26647,0.81396,0.002971,0.002971,0.002971
73,329.846,0.49144,0.31512,0.89702,1,1,0.995,0.93708,0.41024,0.24789,0.8156,0.002872,0.002872,0.002872
74,334.109,0.47038,0.30447,0.88727,1,1,0.995,0.9423,0.39066,0.25285,0.81075,0.002773,0.002773,0.002773
75,338.419,0.48722,0.30935,0.8968,1,1,0.995,0.94144,0.38465,0.25864,0.81193,0.002674,0.002674,0.002674
76,342.646,0.48279,0.30072,0.89324,1,1,0.995,0.9416,0.39463,0.25029,0.81606,0.002575,0.002575,0.002575
77,346.882,0.47276,0.30182,0.88325,1,1,0.995,0.94468,0.39516,0.25098,0.81697,0.002476,0.002476,0.002476
78,351.281,0.45968,0.29442,0.88927,1,1,0.995,0.94423,0.40216,0.23908,0.81606,0.002377,0.002377,0.002377
79,355.536,0.45681,0.29225,0.8715,1,1,0.995,0.94482,0.38942,0.24423,0.81597,0.002278,0.002278,0.002278
80,359.911,0.43674,0.28784,0.87879,0.99881,1,0.995,0.94339,0.39219,0.25075,0.81685,0.002179,0.002179,0.002179
81,364.285,0.44385,0.2839,0.87898,1,1,0.995,0.94928,0.37177,0.23656,0.80584,0.00208,0.00208,0.00208
82,368.764,0.4515,0.28455,0.88475,1,1,0.995,0.95129,0.38188,0.23892,0.81039,0.001981,0.001981,0.001981
83,373.166,0.44597,0.28366,0.88907,1,1,0.995,0.94705,0.3805,0.2345,0.80893,0.001882,0.001882,0.001882
84,377.573,0.45456,0.29206,0.88517,1,1,0.995,0.94497,0.38699,0.23216,0.81364,0.001783,0.001783,0.001783
85,381.92,0.43975,0.28353,0.88925,1,1,0.995,0.94633,0.39117,0.23158,0.80503,0.001684,0.001684,0.001684
86,386.601,0.45578,0.28333,0.8912,1,1,0.995,0.94666,0.38396,0.23157,0.81166,0.001585,0.001585,0.001585
87,391.498,0.44523,0.27882,0.88674,0.99819,1,0.995,0.95173,0.37479,0.23376,0.80623,0.001486,0.001486,0.001486
88,396.383,0.44738,0.27506,0.88917,0.99813,1,0.995,0.9353,0.41632,0.24854,0.81818,0.001387,0.001387,0.001387
89,401.107,0.44344,0.27705,0.88266,0.99846,1,0.995,0.93699,0.41346,0.24642,0.81889,0.001288,0.001288,0.001288
90,405.963,0.43953,0.27404,0.87967,0.99882,1,0.995,0.95718,0.37447,0.23182,0.80555,0.001189,0.001189,0.001189
91,431.986,0.36932,0.23438,0.844,0.99847,1,0.995,0.95268,0.36728,0.22758,0.8092,0.00109,0.00109,0.00109
92,436.343,0.35713,0.22716,0.82621,0.99808,1,0.995,0.94365,0.38871,0.23328,0.80981,0.000991,0.000991,0.000991
93,440.546,0.355,0.22643,0.82897,0.99799,1,0.995,0.94698,0.37969,0.23451,0.81155,0.000892,0.000892,0.000892
94,444.929,0.35171,0.21857,0.83668,0.99807,1,0.995,0.94843,0.36585,0.22722,0.80839,0.000793,0.000793,0.000793
95,449.378,0.35277,0.22583,0.82902,0.99806,1,0.995,0.94899,0.37249,0.22562,0.80656,0.000694,0.000694,0.000694
96,453.923,0.35745,0.21888,0.82992,0.99839,1,0.995,0.9505,0.36642,0.21624,0.80711,0.000595,0.000595,0.000595
97,458.369,0.35053,0.21317,0.82135,0.99829,1,0.995,0.94941,0.36533,0.21781,0.8057,0.000496,0.000496,0.000496
98,462.866,0.35913,0.21411,0.82603,0.9983,1,0.995,0.95402,0.3622,0.21537,0.80687,0.000397,0.000397,0.000397
99,467.33,0.34515,0.20816,0.81865,0.99843,1,0.995,0.95052,0.37634,0.21818,0.8115,0.000298,0.000298,0.000298
100,471.831,0.33814,0.2029,0.81782,0.9984,1,0.995,0.94748,0.37473,0.21374,0.81118,0.000199,0.000199,0.000199
